Duration,Skew,Location,Scale
5mns,0.7204799914905343,5.000887139752313,0.2590355545469889
10mns,-0.007951892318006675,4.386424515119741,0.24120162431898845
15mns,0.8304315195659839,3.964083863992661,0.21046821446895567
30mns,0.8973892216366929,2.658990936981436,0.2648585114508729
1h,1.095077590753704,3.09093993908181,0.2406276674298598
90min,-0.018931328392158872,2.958109572659878,0.25301613645221954
2h,0.006966712925283901,2.832058034171091,0.24471306185181507
3h,0.21410523063563494,2.7134539887068296,0.23745061962039143
6h,0.13805893855886275,2.3068515875400006,0.2849671258108917
12h,-0.09452154592885467,1.9106471010936517,0.29662253389443194
15h,-0.14674604460826174,1.7915152114120856,0.2940671321317907
18h,-0.2174732037169344,1.673089717802288,0.30275662945160764
24h,-0.3099763373729111,0.7825766211892482,0.3559273931051169
