number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_weight_decay,state
0,-0.2264588236808777,2025-11-12 11:05:20.797281,2025-11-12 11:05:26.516149,0 days 00:00:05.718868,64,128,0.0015930522616241021,1.3311216080736884e-05,COMPLETE
1,-0.15632898807525636,2025-11-12 11:05:26.516673,2025-11-12 11:06:09.244913,0 days 00:00:42.728240,128,8192,0.00019010245319870352,7.52374288453486e-07,COMPLETE
2,-12.060673785209655,2025-11-12 11:06:09.245360,2025-11-12 11:06:50.410852,0 days 00:00:41.165492,128,8192,0.00853618986286683,2.661901888489056e-05,COMPLETE
3,-0.5413916647434235,2025-11-12 11:06:50.411236,2025-11-12 11:06:56.333073,0 days 00:00:05.921837,64,1024,0.001096821720752952,4.36647359297963e-06,COMPLETE
4,-1.2184179782867433,2025-11-12 11:06:56.333471,2025-11-12 11:07:05.905494,0 days 00:00:09.572023,32,64,0.0005989003672254305,6.516990611177174e-07,COMPLETE
5,0.2110142707824707,2025-11-12 11:07:05.905874,2025-11-12 11:07:11.820956,0 days 00:00:05.915082,64,1024,0.004274869455295219,1.3199942261535016e-05,COMPLETE
6,-0.2639291286468506,2025-11-12 11:07:11.821352,2025-11-12 11:07:23.309421,0 days 00:00:11.488069,32,256,0.002878805718308925,8.178476574339539e-06,COMPLETE
7,-0.761474347114563,2025-11-12 11:07:23.309853,2025-11-12 11:07:33.410721,0 days 00:00:10.100868,32,512,0.00016435497475111326,1.2424747083660181e-07,PRUNED
8,-0.5982336521148681,2025-11-12 11:07:33.411091,2025-11-12 11:07:38.715422,0 days 00:00:05.304331,64,64,0.007234279845665418,2.656813924114494e-05,PRUNED
9,-0.7218417048454284,2025-11-12 11:07:38.715780,2025-11-12 11:07:48.753626,0 days 00:00:10.037846,32,1024,0.0007148510793512986,2.8447512555118212e-05,PRUNED
10,-0.7484187364578248,2025-11-12 11:07:48.754007,2025-11-12 11:08:10.240929,0 days 00:00:21.486922,64,4096,0.003461314130728519,8.102356207766666e-05,PRUNED
11,-0.5106947302818299,2025-11-12 11:08:10.241514,2025-11-12 11:08:14.453882,0 days 00:00:04.212368,128,2048,0.00011952270129143859,6.767435117379527e-07,PRUNED
12,-0.6994340062141419,2025-11-12 11:08:14.454258,2025-11-12 11:08:55.200438,0 days 00:00:40.746180,128,8192,0.0003118460128089834,1.5257845926958656e-06,PRUNED
13,-0.3727652311325073,2025-11-12 11:08:55.200804,2025-11-12 11:09:35.850285,0 days 00:00:40.649481,128,8192,0.00038412885435497817,1.5975733355432407e-07,PRUNED
14,-0.2495064616203308,2025-11-12 11:09:35.850650,2025-11-12 11:09:38.953199,0 days 00:00:03.102549,128,1024,0.0025829148433697043,1.5975426780810894e-06,COMPLETE
15,-0.9139893293380738,2025-11-12 11:09:38.953603,2025-11-12 11:09:44.750543,0 days 00:00:05.796940,64,256,0.00021697037834336695,3.4108961290820123e-07,PRUNED
16,-2.3672659754753114,2025-11-12 11:09:44.750908,2025-11-12 11:10:05.847776,0 days 00:00:21.096868,64,4096,0.00525958188913562,2.7788523952369287e-06,PRUNED
17,-0.46679255962371824,2025-11-12 11:10:05.848302,2025-11-12 11:10:08.754906,0 days 00:00:02.906604,128,128,0.0014697238276773963,9.956055660659061e-05,PRUNED
18,-0.5653129816055298,2025-11-12 11:10:08.755273,2025-11-12 11:10:14.468741,0 days 00:00:05.713468,64,512,0.0004774652236011,6.971845569986228e-06,PRUNED
19,-0.49421842098236085,2025-11-12 11:10:14.469105,2025-11-12 11:10:18.711132,0 days 00:00:04.242027,128,2048,0.004818119662661435,1.1598433546299797e-06,PRUNED
20,-1.6419935822486877,2025-11-12 11:10:18.711514,2025-11-12 11:10:59.259764,0 days 00:00:40.548250,128,8192,0.0020065771485986692,2.564608362501766e-07,PRUNED
21,-0.2068994164466858,2025-11-12 11:10:59.260147,2025-11-12 11:11:04.510016,0 days 00:00:05.249869,64,128,0.0013976744373213202,1.2322716072747438e-05,COMPLETE
22,-0.3378281831741333,2025-11-12 11:11:04.510401,2025-11-12 11:11:09.745222,0 days 00:00:05.234821,64,128,0.000779337022954338,1.3869652995381656e-05,PRUNED
23,-0.9298901855945587,2025-11-12 11:11:09.745578,2025-11-12 11:11:15.633029,0 days 00:00:05.887451,64,1024,0.001169891840019945,3.4376346806275853e-06,PRUNED
24,-0.5577909708023071,2025-11-12 11:11:15.633393,2025-11-12 11:11:20.919935,0 days 00:00:05.286542,64,128,0.0039634864398424095,1.3605005233159962e-05,PRUNED
25,-0.6297535419464111,2025-11-12 11:11:20.920293,2025-11-12 11:11:26.839139,0 days 00:00:05.918846,64,1024,0.0002548882737741324,5.0798077515381006e-05,PRUNED
26,-1.1353233814239503,2025-11-12 11:11:26.839509,2025-11-12 11:12:41.449750,0 days 00:01:14.610241,64,8192,0.002057728374955904,6.487293340523337e-06,PRUNED
27,0.013032305240631103,2025-11-12 11:12:41.450120,2025-11-12 11:12:46.804545,0 days 00:00:05.354425,64,128,0.0009681122128074782,4.589508023910757e-05,COMPLETE
28,-1.113230049610138,2025-11-12 11:12:46.804920,2025-11-12 11:12:56.957299,0 days 00:00:10.152379,32,256,0.00013612339692481573,4.2324994119886586e-05,PRUNED
29,-1.0271832585334777,2025-11-12 11:12:56.957668,2025-11-12 11:12:59.797123,0 days 00:00:02.839455,128,128,0.0008772636926354991,5.215110930140356e-05,PRUNED
30,-0.2563916802406311,2025-11-12 11:12:59.797479,2025-11-12 11:13:05.095709,0 days 00:00:05.298230,64,64,0.009707096751724348,2.179137362291213e-05,PRUNED
31,-0.00352252721786499,2025-11-12 11:13:05.096064,2025-11-12 11:13:10.362263,0 days 00:00:05.266199,64,128,0.0013902091487856608,1.673613377576834e-05,COMPLETE
32,-0.17518386840820313,2025-11-12 11:13:10.362641,2025-11-12 11:13:15.634924,0 days 00:00:05.272283,64,128,0.0062703736812218846,1.5315171778657953e-05,COMPLETE
33,-0.7645530939102173,2025-11-12 11:13:15.635297,2025-11-12 11:13:20.908266,0 days 00:00:05.272969,64,128,0.0004613222411373398,4.426132945185269e-05,PRUNED
34,-2.990024197101593,2025-11-12 11:13:20.908628,2025-11-12 11:14:35.305196,0 days 00:01:14.396568,64,8192,0.0020805551342542726,4.966519838677882e-06,PRUNED
35,-0.7056583881378173,2025-11-12 11:14:35.305561,2025-11-12 11:14:41.138966,0 days 00:00:05.833405,64,1024,0.00019007541580867002,9.189021546957396e-06,PRUNED
36,-0.7581707835197449,2025-11-12 11:14:41.139328,2025-11-12 11:14:51.124971,0 days 00:00:09.985643,32,512,0.001082870102385771,2.3564162288731216e-06,PRUNED
37,-0.8477174162864685,2025-11-12 11:14:51.125333,2025-11-12 11:14:56.333102,0 days 00:00:05.207769,64,128,0.0006193328737443533,1.8288213931471098e-05,PRUNED
38,-1.0709396958351136,2025-11-12 11:14:56.333460,2025-11-12 11:15:07.966234,0 days 00:00:11.632774,128,4096,0.0031462689837537874,3.213251789058347e-05,PRUNED
39,-0.6179485321044922,2025-11-12 11:15:07.966827,2025-11-12 11:15:24.764176,0 days 00:00:16.797349,32,2048,0.0003013682720565323,5.347613226413893e-07,PRUNED
40,0.0840956449508667,2025-11-12 11:15:24.764712,2025-11-12 11:15:29.995200,0 days 00:00:05.230488,64,64,0.0025188879377245265,1.0178077960533155e-05,COMPLETE
41,-0.29384937286376955,2025-11-12 11:15:29.995587,2025-11-12 11:15:35.179437,0 days 00:00:05.183850,64,64,0.002519111655482025,9.728378205959932e-06,PRUNED
42,0.060924720764160153,2025-11-12 11:15:35.179789,2025-11-12 11:15:40.420914,0 days 00:00:05.241125,64,64,0.0016611574092110905,6.920177814574702e-05,COMPLETE
43,-0.8538402080535888,2025-11-12 11:15:40.421294,2025-11-12 11:15:45.667538,0 days 00:00:05.246244,64,64,0.001494647693277473,6.552217779190873e-05,PRUNED
44,-0.11587843894958497,2025-11-12 11:15:45.667895,2025-11-12 11:15:50.926806,0 days 00:00:05.258911,64,64,0.0018542744270071787,2.9945391433252418e-05,COMPLETE
45,-0.5753974556922913,2025-11-12 11:15:50.927182,2025-11-12 11:15:56.224467,0 days 00:00:05.297285,64,64,0.004197392620442756,8.103088101887868e-05,PRUNED
46,-0.9971761226654052,2025-11-12 11:15:56.224837,2025-11-12 11:16:01.488628,0 days 00:00:05.263791,64,64,0.0012161490340799185,2.2859584521078986e-05,PRUNED
47,-0.12639957666397095,2025-11-12 11:16:01.488986,2025-11-12 11:16:06.731288,0 days 00:00:05.242302,64,64,0.002486782548724349,3.3646997588624754e-05,COMPLETE
48,-0.6427526235580444,2025-11-12 11:16:06.731668,2025-11-12 11:16:12.602250,0 days 00:00:05.870582,64,1024,0.0009583665523710163,5.596792188049487e-06,PRUNED
49,-0.6143270373344422,2025-11-12 11:16:12.602633,2025-11-12 11:16:18.424917,0 days 00:00:05.822284,64,256,0.0017702706856684946,1.9021901448970977e-05,PRUNED
